service,log_level,count
AuthService,DEBUG,4995
AuthService,ERROR,5096
AuthService,INFO,5024
AuthService,WARNING,4939
NotificationService,DEBUG,4923
NotificationService,ERROR,4919
NotificationService,INFO,5065
NotificationService,WARNING,5037
OrderService,DEBUG,4887
OrderService,ERROR,4942
OrderService,INFO,4904
OrderService,WARNING,5066
PaymentService,DEBUG,4976
PaymentService,ERROR,4968
PaymentService,INFO,4964
PaymentService,WARNING,5155
UserService,DEBUG,5083
UserService,ERROR,5002
UserService,INFO,5033
UserService,WARNING,5022
